wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W4,fg,other,binary,2,2,-1; 7; 8; 9,member,What do you think the economic situation of your family will be a few years from now? Whether the re...
W4,ir10a,interviewer,binary,2,2,-1,ir10a,ir10a Was the interview conducted with the assistance of an interpreter?
W4,ir11b,interviewer,likert_3,3,3,-1,ir11b,ir11b Is there tape water in the household?
W4,ir11c,interviewer,binary,2,2,-1; 3,ir11c,ir11c Is electricity the main source of lighting in the house?
W4,ir11d,interviewer,binary,2,2,-1; 3,ir11d,ir11d Is this neighborhood covered by mobil phone network?
W4,ir12a,interviewer,ordinal,5,9,-1,ir12a,ir12a. Post-office
W4,ir12b,interviewer,ordinal,5,9,-1,ir12b,ir12b. School
W4,ir12c,interviewer,ordinal,5,9,-1,ir12c,ir12c. Police station
W4,ir12d,interviewer,ordinal,5,9,-1,ir12d,ir12d. Sewerage system that most houses could access
W4,ir12e,interviewer,ordinal,5,9,-1,ir12e,ir12e. Health clinic
W4,ir12f,interviewer,ordinal,5,9,-1,ir12f,ir12f. Signal for cellular phone
W4,ir12g,interviewer,ordinal,5,9,-1,ir12g,"ir12g. Recreational facilities, e.g., a sports field"
W4,ir12h,interviewer,ordinal,5,9,-1,ir12h,"ir12h. Any churches, mosques, temples or other public places of worship"
W4,ir12i,interviewer,ordinal,5,9,-1,ir12i,ir12i. Any town halls or community buildings that can be used for meetings
W4,ir12j,interviewer,ordinal,5,9,-1,ir12j,ir12j. Market stalls (selling groceries and/or clothing)
W4,ir2,interviewer,binary,2,2,-1,questionnaire,ir2 Is this the first questionnaire you have completed?
W4,ir3,interviewer,binary,2,2,-1,present,"ir3 In the interview, other than the respondent, were others present?"
W4,ir4,interviewer,likert_4,4,4,-1,refused,ir4 Has the respondent ever refused to be interviewed during the whole process?
W4,q1,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,overll,1. How would you rate the overll economic condition of our country today?
W4,q10,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,parties,What do you think the economic situation of your family will be a few years from now? 10 Political p...
W4,q11,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,parliament,What do you think the economic situation of your family will be a few years from now? 11 Parliament
W4,q110,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commit,110 Do officials who commit crimes go unpunished?
