variable_id,domain,concepts,question_text,value_labels
country,Unknown,,Country code,1=Japan; 2=Hong Kong; 3=Korea; 4=China; 5=Mongolia; 6=Philippines; 7=Taiwan; 8=Thailand; 9=Indonesia; 10=Singapore; 11=Vietnam; 12=Cambodia; 13=Malaysia; 14=Myanmar
fg,Social Participation,"formal organization, membership, social engagement",fg. Whether the respondent is a member of formal organization,-1=Mssing; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
idnumber,Unknown,,"case number 

Variable: region 
  Question: Region","-1=Missing; 101=Hokkaido; 102=Tohoku; 103=Kanto; 104=Hokuriku; 105=Higashiyama; 106=Tokai; 107=Kinki; 108=Chugoku; 109=Shikoku; 110=Northern Kyushu; 111=Southern Kyushu; 201=Kowloon; 202=New Territories; 203=Hong Kong Island; 204=Lantau Island; 301=Seoul; 302=Yeongnam; 303=Honam; 304=Hoseo; 305=Sudogwon; 306=Gwangong; 401=North; 402=Northeast; 403=East; 404=South Central; 405=Southwest; 406=Northwest; 501=Ulaanbaatar; 502=Western; 503=Northern; 504=Central I; 505=Central II; 506=Central III; 507=Eastern; 508=Southern; 601=NCR; 602=Balance Luzon; 603=Visayas; 604=Mindanao; 701=Taipei, New Taipei, Keelung; 702=Taoyuang, Hsinchu, Miaoli; 703=Taichung, Changhua, Nantou; 704=Yunlin, Chiayi, Tainan; 705=Kaohsiung, Pingtung; 706=Yilan, Hualien, Taitung, outlying islands; 801=Bangkok; 401=North; 803=Central; 402=Northeast; 805=South; 901=Aceh; 902=Sumatra; 903=Java; 904=Lesser Sunda Islands; 905=Kalimantan; 906=Sulawesi; 907=Maluk Islands; 908=Western New Guinea; 403=East; 1002=West; 401=North; 805=South; 803=Central; 1101=Northern and mountains; 1102=Red River Delta; 1103=Central Coast; 1104=Central Highlands; 1105=Southeast; 1106=Mekong River Delta; 1201=Tonle Sap; 1202=Phnom Penh; 1203=Central Plain; 1204=Plateua/Highland; 1205=Coastal; 503=Northern; 803=Central; 508=Southern; 507=Eastern; 1305=East Malaysia; 401=North; 803=Central; 1002=West; 403=East; 1405=Lower; 805=South"
ir1,Interview Administration,"interviewer, identification, administration",ir1 Interviewer's number,-1=Missing
ir10,Interview Administration,"language, interview, communication",ir10 Language in which interview was conducted,-1=Missing; 1=Native language or dialect (mother tongue) of the respondent; 2=The main language of the country but not the native language or dialect (mother tongue) of the respondent; 3=The main language of the region/localities but not the native language or dialect (mother tongue) of the respondent
ir10a,Interview Administration,"interpreter, assistance, language support",ir10a Was the interview conducted with the assistance of an interpreter?,-1=Missing; 1=Yes; 2=No
ir11a,Infrastructure,"road condition, accessibility, residence",ir11a What is the condition of the road leading to interviewee's residence?,"-1=Missing; 1=Wide enough for car and paved with asphalt, cement or man-ma; 2=Not wide enough for car, but paved with asphalt, cement or m; 3=Paved with stone; 4=Unpaved/dirt road; 5=Muddy; 6=Other"
ir11b,Service Accessibility,"tap water, availability, household",ir11b Is there tape water in the household?,-1=Missing; 1=Yes; 2=No; 3=Can't determine
ir11b_2,Service Accessibility,"drinking water, source, household",ir11b_2 Please identify the main source of drinking water in the household?,"-1=Missing; 1=Tap water inside the house; 2=Shared tap water in the public place; 3=Handbump for groundwater; 4=Shared handbump for groundwater; 5=Form river, pound or lake; 6=Buy water; 7=Can't determine"
ir11c,Service Accessibility,"electricity, lighting, household",ir11c Is electricity the main source of lighting in the house?,-1=Missing; 1=Yes; 2=No; 3=Don't know
ir11d,Service Accessibility,"electricity, lighting, mobile phone network, infrastructure",ir11c Is electricity the main source of lighting in the house? ir11d Is this neighborhood covered by mobil phone network?,-1=Missing; 1=Yes; 2=No; 3=Don't know
ir11e,Service Accessibility,"public transportation, walking distance, proximity, accessibility","ir11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",-1=Missing; 1=Less than 10 minutes by walking; 2=Less than 20 minutes; 3=Less than 40 minutes; 4=Less than an hour; 4=Less than an hour; 6=Less than three hours; 7=Less than four hours; 8=More than fours hours
ir12,Service Accessibility,"neighborhood services, infrastructure, availability, accessibility","ir12 Were the following services present within the neighborhood, estimate the distance of services by ..",-1=Missing; 1=walking; 2=Easy driving
ir12a,Service Accessibility,"post-office, mail services, proximity, accessibility",ir12a. Post-office,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12b,Service Accessibility,"education, school, proximity, accessibility",ir12b. School,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12c,Public Safety,"police station, law enforcement, security, proximity",ir12c. Police station,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12d,Infrastructure,"sewerage system, sanitation, public health, accessibility",ir12d. Sewerage system that most houses could access,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12e,Health Services,"health clinic, medical care, proximity, accessibility",ir12e. Health clinic,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
