wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W3,ir10a,interviewer,binary,2,2,-1,ir10a,IR10a. Was the interview conducted with the assistance of an interpreter?
W3,ir11c,interviewer,binary,2,2,-1; 9,ir11c,IR11c. Is electricity the main source of lighting in the house?
W3,ir2,interviewer,binary,2,2,-1; 90,questionnaire,IR2. Is this the first questionnaire you have completed?
W3,ir3,interviewer,binary,2,2,-1,present,"IR3. In the interview, other than the respondent, were others present?"
W3,ir4,interviewer,likert_4,4,4,-1; 9,refused,IR4. Has the respondent ever refused to be interviewed during the whole process?
W3,q1,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,overall,q1. How would you rate the overall economic condition of our country today?  Is it …
W3,q10,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,specific,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q108,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commit,q108. Do officials who commit crimes go unpunished?
W3,q109,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,withhold,q109. How often do government officials withhold important information from the public view?
W3,q11,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,parliament,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q110,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,abuse,q110. How often do you think government leaders break the law or abuse their power?
W3,q111,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,offer,q111.  How often do you think our elections offer the voters a real choice between different parties...
W3,q115,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,having,q115. How much do you feel that having elections makes the government pay attention to what the peop...
W3,q119_1,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,119_1,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W3,q119_2,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,119_2,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W3,q119_3,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,119_3,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
