variable_id,domain,concepts,question_text,scale_type,scale_points,confidence,needs_reversal,validation_phrase,validation_phrase_occurrences,validation_phrase_score
country,Unknown,,Country code,categorical,14,0.8,False,country code,1,92.4
fg,Unknown,,fg. Whether the respondent is a member of formal organization,binary,2,0.8,True,fg. whether the respondent is,1,132.0
idnumber,Unknown,,"case number 

Variable: region 
  Question: Region",categorical,70,0.8,False,case number variable: region question:,1,132.0
ir1,Unknown,,ir1 Interviewer's number,unknown,0,0.0,False,ir1 interviewer's number,1,132.0
ir10,Unknown,,ir10 Language in which interview was conducted,likert_3,3,0.8,False,ir10 language in which interview,1,132.0
ir10a,Unknown,,ir10a Was the interview conducted with the assistance of an interpreter?,binary,2,0.8,True,ir10a was the interview conducted,1,132.0
ir11a,Unknown,,ir11a What is the condition of the road leading to interviewee's residence?,likert_6,6,0.8,False,ir11a what is the condition,1,132.0
ir11b,Unknown,,ir11b Is there tape water in the household?,likert_3,3,0.8,True,ir11b is there tape water,1,132.0
ir11b_2,Unknown,,ir11b_2 Please identify the main source of drinking water in the household?,likert_7,7,0.8,False,ir11b_2 please identify the main,1,132.0
ir11c,Unknown,,ir11c Is electricity the main source of lighting in the house?,binary,2,0.8,True,ir11c is electricity the main,2,46.66904755831214
ir11d,Unknown,,ir11c Is electricity the main source of lighting in the house? ir11d Is this neighborhood covered by mobil phone network?,binary,2,0.8,True,lighting in the house? ir11d,1,132.0
ir11e,Unknown,,"ir11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",likert_4,5,0.8,False,ir11e in terms of walking,1,132.0
ir12,Unknown,,"ir12 Were the following services present within the neighborhood, estimate the distance of services by ..",binary,2,0.8,False,ir12 were the following services,1,132.0
ir12a,Unknown,,ir12a. Post-office,likert_4,4,0.8,True,ir12a. post-office,1,92.4
ir12b,Unknown,,ir12b. School,likert_4,4,0.8,True,ir12b. school,1,92.4
ir12c,Unknown,,ir12c. Police station,likert_4,4,0.8,True,ir12c. police station,1,132.0
ir12d,Unknown,,ir12d. Sewerage system that most houses could access,likert_4,4,0.8,True,ir12d. sewerage system that most,1,132.0
ir12e,Unknown,,ir12e. Health clinic,likert_4,4,0.8,True,ir12e. health clinic,1,132.0
ir12f,Unknown,,ir12f. Signal for cellular phone,likert_4,4,0.8,True,ir12f. signal for cellular phone,1,132.0
ir12g,Unknown,,"ir12g. Recreational facilities, e.g., a sports field",likert_4,4,0.8,True,"recreational facilities, e.g., a sports",1,132.0
ir12h,Unknown,,"ir12h. Any churches, mosques, temples or other public places of worship",likert_4,4,0.8,True,"ir12h. any churches, mosques, temples",1,132.0
ir12i,Unknown,,ir12i. Any town halls or community buildings that can be used for meetings,likert_4,4,0.8,True,ir12i. any town halls or,1,132.0
